"alpha","beta","sigma"
7.06383274248465,-0.488453338813083,0.586916369802722
6.82686698757419,-0.4618258608732,0.591347006822028
6.98831481708554,-0.485383769541218,0.584201711405946
6.91018764569471,-0.475873010359468,0.549675435763622
7.08417565072022,-0.494951708451231,0.566860100904114
6.56667913351817,-0.43447119127867,0.652257893125812
6.88181354652041,-0.478610877609058,0.637738976660899
6.96684852044007,-0.48705123630239,0.556492052449278
7.26153773023921,-0.510937327749355,0.620444510383523
7.36861475090488,-0.536394980436687,0.669966985712963
7.06518701151708,-0.497400272621983,0.585299802540462
7.00810039553965,-0.48637268594503,0.558036504644785
6.86613270350857,-0.45795618060131,0.560976417773671
7.1497261513082,-0.505071694245584,0.534277200396096
7.13388097048946,-0.496384510679582,0.60082074817304
6.8957783105264,-0.473078417359837,0.611261647763905
7.06989803142454,-0.497821002865098,0.529638711478599
7.02959008442778,-0.483092436774389,0.600439957322041
6.89030924298202,-0.474229551319623,0.617210476693232
7.21756420958847,-0.508273438515168,0.597901743484127
7.23112162215654,-0.524586313116404,0.605175257160086
7.19482691332966,-0.51509189932154,0.623667890687123
7.09616254432527,-0.49672904851705,0.660895444053921
7.07227387194842,-0.500685351865149,0.605649791004032
7.05668126862501,-0.489893285740965,0.553884896416256
7.14959658728814,-0.504791320516249,0.584246369040936
6.98648770862983,-0.499103401798708,0.59541707016259
6.56438027450348,-0.427753776506533,0.62539629297264
6.60281716666142,-0.438748977225351,0.617381647381059
6.89646750146718,-0.467554513382023,0.583589374067864
7.18610293976071,-0.502491953692115,0.587020577792154
7.32229164532013,-0.528013691778001,0.563423029743569
6.7965885791243,-0.457334935388591,0.585799010869384
6.7784045559765,-0.453653531824307,0.620518161728771
7.254090418583,-0.509371531344234,0.616614801609696
7.18758805067077,-0.513091784989972,0.588660582744826
7.13729773852313,-0.501775308259477,0.608408027816294
7.08370230103603,-0.495481056468983,0.55432503225815
7.25195495199687,-0.513672132417744,0.578043036984043
7.11787836184763,-0.510202368207191,0.557370137419553
6.88724054764804,-0.475564081071578,0.580454991816497
7.15896658559227,-0.498286334027668,0.54677130601563
7.22184606322843,-0.518286149718812,0.578613526184832
7.13619255793786,-0.51377732454574,0.568355955057077
6.65605458744825,-0.444415952933846,0.593742659763759
7.00833020663194,-0.496422425082974,0.620632115472636
7.28231000877193,-0.514679667684834,0.556005025811646
6.85584111657197,-0.474880076873665,0.61986116313517
7.2239971347805,-0.524577628380113,0.600479314745571
7.00656827153328,-0.496248048331775,0.654440791689509
6.96743501565659,-0.492590657940153,0.582087557163748
7.06055218879875,-0.498173991105249,0.58659955386773
7.00883328839337,-0.471369641344862,0.596729981895983
7.01723558476509,-0.491252566690737,0.590767052681714
7.31644487099813,-0.527791820094101,0.539976920299699
7.2346864512842,-0.501092297746674,0.601919414377371
6.90008877322292,-0.477734869101381,0.582923503489173
6.81742559441813,-0.457217812378541,0.660145942430444
6.88214540262521,-0.471775914330593,0.662756244895016
7.05688144093528,-0.497576574798764,0.66135422958686
7.1101067304385,-0.498806805844418,0.560029262184421
7.09900275266961,-0.501489825169185,0.576283843190816
7.3681642843969,-0.531745098465134,0.56517036805035
7.05317998072269,-0.483520840900788,0.571527740939147
7.10181555080115,-0.50500854152585,0.605954845379607
7.10227666621649,-0.500793575151908,0.597702866739215
7.14959658728814,-0.504791320516249,0.584246369040936
6.75758231876359,-0.45705651283985,0.608552908113643
7.13519054388144,-0.504026030025472,0.58791840220561
6.81677558510031,-0.449917542253863,0.638504067733062
7.35061854791118,-0.532912090889019,0.633613289144837
7.14797482713248,-0.503924344033222,0.594160496726704
7.30716347131088,-0.523277825958242,0.57737149435277
7.04662990751708,-0.49465693112206,0.602240749108333
7.13284388508783,-0.506603730410329,0.534015907082218
7.27073303700569,-0.519133565771872,0.598994716037199
7.13296596688755,-0.504948682744916,0.533943348744424
6.5994599952137,-0.436382762274595,0.659074599297302
6.99424177141853,-0.482636013185099,0.548752507416902
6.75834065777637,-0.45865437519617,0.579717592665052
7.07809187116134,-0.498834434859286,0.664756042348288
6.81653602860688,-0.467157884090053,0.667942438960166
7.38755325804573,-0.543077374343919,0.630862567635706
7.02127643627842,-0.484994085131038,0.562169755190604
7.10604023904506,-0.506251301474359,0.643508495216854
7.08893147264209,-0.488773839054877,0.633135765291796
6.90277277696211,-0.481413592937625,0.573735725372899
7.40361984697001,-0.537401423792023,0.578723956745123
7.33477159605778,-0.525837722308804,0.54713119961637
7.15508123018515,-0.513284784816498,0.608536026214386
7.13799665975427,-0.506588412009053,0.556591096610474
6.80429873871882,-0.464572273284487,0.559556540416388
7.24156729426566,-0.506953780630217,0.60913724979648
6.91980433692453,-0.476907610608953,0.616120102104363
6.98902671695853,-0.480078351038063,0.564784257235514
7.23029198475839,-0.502499171991549,0.597957998246379
6.87040161134502,-0.46162501790901,0.565828554547811
6.63051340285681,-0.453922136449223,0.559474111920948
6.9434192751789,-0.476947479967285,0.610985159279066
7.24054472394131,-0.507879894489561,0.618752001133516
6.59659231058534,-0.436442200068932,0.593636235918015
7.06099138330265,-0.503716907660464,0.529351732618637
7.12880560290322,-0.510858734821984,0.579087839949765
6.90788280798365,-0.470104257223797,0.595756867633207
6.82462300424016,-0.459915221057734,0.610603448061503
6.9578081540049,-0.479816632959233,0.528480124147482
7.09129772994353,-0.498488855074179,0.612808289272858
7.13925918083501,-0.516346503223355,0.601283610159157
6.88972247712852,-0.469196580298467,0.595321403867565
7.27841388071388,-0.5262276158727,0.605652463661129
6.80630990681044,-0.453381147886065,0.58945627516905
6.72866067415544,-0.457249871674546,0.620112757304514
7.00759050468067,-0.497317723113153,0.564862420955743
7.22694620885907,-0.527854131323231,0.642967650820296
7.02743396508857,-0.495044454161416,0.553561368707414
6.89690001132477,-0.472724697946287,0.606769983595016
6.96213507229056,-0.485974356152511,0.6077951411611
6.84052894933622,-0.465867562264767,0.656837260420757
7.13291113844484,-0.495976448600335,0.56331103048346
7.09032226750153,-0.50146095766274,0.598116223183265
6.84994867998554,-0.456862034618731,0.592474305436028
6.92971984357506,-0.47888539679521,0.588346981633099
7.08169641841789,-0.489855458177255,0.551914777185977
6.88157083792299,-0.478527714461803,0.6162171605062
7.04876356638595,-0.488595986837648,0.585527881893186
6.71357888353531,-0.45730143304454,0.59055561194785
7.00131092589167,-0.492672552499925,0.55325377192009
6.98407082649454,-0.490335669247526,0.605872710818212
6.99168772192467,-0.487304880522878,0.613355906139081
7.34901034619989,-0.537647041511138,0.617481116102933
7.08157980309699,-0.505463610702267,0.588446063909407
7.34562040945133,-0.530500130226787,0.556110359193511
7.1579809839139,-0.503000735285412,0.577263861919205
6.99854248106464,-0.475321003712349,0.610849773795215
7.21907142433966,-0.508558636457987,0.580720104437614
7.23169077540693,-0.520332772228915,0.597330227550757
7.16121468930564,-0.510925852989285,0.577447931308322
7.19027196935407,-0.507819356637501,0.581964780809993
7.09212798177124,-0.499424351565823,0.537848415486765
6.80334143915749,-0.458067171474103,0.556840481409223
7.27645729715182,-0.525940396133285,0.572624511472976
6.93472199047741,-0.478409958918718,0.641167509414619
7.10985942547434,-0.489447575540935,0.593734675116124
7.0897225057129,-0.502573905276678,0.643139024347919
7.10356428573464,-0.499335503023244,0.659985977526711
6.71948551105318,-0.451890018200445,0.638288918050489
6.99357764046458,-0.483286742211808,0.536112803139576
6.77357481261711,-0.454565494496853,0.588234625844323
6.58524488786943,-0.440869073194943,0.628102861066614
7.07200877851104,-0.493685501247651,0.606998512074736
6.95811107613832,-0.478190596692696,0.59990217166892
7.360659891123,-0.546120425009593,0.601276432489036
7.11583183195204,-0.496454331934302,0.576682277598469
7.29256904748248,-0.52071740517401,0.584784875786119
7.12466166214343,-0.495187768274928,0.59725952031346
7.64858166640865,-0.564489578647155,0.58787736360742
6.96840282727836,-0.488771769573821,0.652086717056053
6.84900100858193,-0.46655030623857,0.6605788433643
7.04824479607948,-0.497058103322545,0.566438266760834
6.97226870508477,-0.479576519173972,0.587383034668425
